RedFighter,BlueFighter,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedWinsByDecision,RedWinsByKOTKO,BlueWinsByDecision,BlueWinsByKOTKO,RedUFC_Debut,BlueUFC_Debut,RedDaysSinceLastFight,BlueDaysSinceLastFight,RedCurrELO,BlueCurrELO,ExpectedValueDiff,CurrentLoseStreakDiff,CurrentWinStreakDiff,DrawsDiff,AvgSigStrLandedDiff,AvgSubAttDiff,AvgTDLandedDiff,LossesDiff,TotalRoundsFoughtDiff,TotalTitleBoutsDiff,WinsBySubmissionDiff,WinsDiff,HeightCmsDiff,ReachCmsDiff,WeightLbsDiff,AgeDiff,WinsByDecisionDiff,WinsByKOTKODiff,UFC_DebutDiff,DaysSinceLastFightDiff,CurrELODiff
Alexandre Pantoja,Kai Asakura,0.6779690427347429,0.3220309572652571,2024-12-07,"Las Vegas, Nevada, USA",USA,1,1,Flyweight,MALE,5,0,0,0,5.96,0.443,0.5,1.3,0.333,0,0,0,0,0,Orthodox,172.72,175.26,125,0,6,0,4.726666197183099,0.09575,0.24200958904109593,0.2917567567567568,0.09049333333333331,3,42,3,4,12,Orthodox,165.1,170.18,125,34,31,SUB,2.0,2:05,425.0,6,2,0,0,0,1,217,60,1629.3248962622522,1500.0,0.3559380854694858,0,6,0,-1.233333802816901,-0.25799041095890407,-1.0082432432432433,3,42,3,4,12,-7.6200000000000045,-5.079999999999984,0,3,6,2,-1,157,129.3248962622522
Shavkat Rakhmonov,Ian Machado Garry,0.5289303669791918,0.4710696330208082,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Welterweight,MALE,3,0,8,0,1.3095238095238095,0.125,0.06521739130434782,0.16041666666666668,0.11,0,20,0,0,8,Orthodox,190.5,187.96,170,0,6,0,0.7411538461538463,0.10962962962962962,0.37142857142857144,0.20551724137931035,0.03866666666666666,0,11,0,5,6,Orthodox,185.42,195.58,170,30,27,DEC,5.0,5:00,1500.0,0,1,5,3,0,0,357,161,1606.6452636163913,1586.51990655927,0.05786073395838365,0,-2,0,-0.5683699633699633,0.3062111801242236,0.04510057471264367,0,-9,0,5,-2,-5.0800000000000125,7.6200000000000045,0,3,-5,-2,0,196,20.125357057121164
Ciryl Gane,Alexander Volkov,0.5010019957139771,0.4989980042860229,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Heavyweight,MALE,3,0,4,0,5.347476056338027,0.11850000000000002,0.02876712328767123,0.13243243243243238,0.11689333333333335,4,44,0,1,12,Orthodox,200.66,203.2,250,0,1,0,1.260864705882353,0.11699999999999998,0.1279245283018868,0.19685185185185183,0.07290909090909091,2,33,3,2,9,Orthodox,193.04,205.74,245,34,36,DEC,3.0,5:00,900.0,3,4,5,6,0,0,462,168,1616.3944409986323,1615.6981821314234,0.002003991427954155,0,-3,0,-4.086611350455674,0.09915740501421558,0.06441941941941945,-2,-11,3,1,-3,-7.6200000000000045,2.5400000000000205,-5,-2,-2,-2,0,294,0.6962588672088259
Bryce Mitchell,Kron Gracie,0.6247974276820829,0.3752025723179171,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Featherweight,MALE,3,2,0,0,2.0354545454545456,0.105,0.13846153846153847,0.16785714285714284,0.05600000000000001,2,7,0,1,1,Southpaw,175.26,177.8,145,1,0,0,1.9031707317073168,0.11633333333333333,0.3209302325581395,0.5268181818181817,0.07355555555555557,2,22,0,1,7,Southpaw,177.8,177.8,145,30,36,KO/TKO,3.0,0:39,639.0,6,0,0,0,0,0,357,581,1573.3728486338134,1484.783478351523,0.2495948553641658,-1,0,0,-0.13228381374722886,0.18246869409660105,0.3589610389610389,0,15,0,0,6,2.5400000000000205,0.0,0,-6,6,0,0,-224,88.58937028229047
Nate Landwehr,Dooho Choi,0.528126554770741,0.471873445229259,2024-12-07,"Las Vegas, Nevada, USA",USA,0,0,Featherweight,MALE,3,0,1,1,3.010538709677419,0.12762500000000002,0.03636363636363637,0.075,0.02742857142857143,3,15,0,0,4,Orthodox,177.8,177.8,145,0,1,0,1.6294444444444443,0.08918918918918918,0.13157894736842105,0.1282051282051282,0.05125,3,17,0,2,5,Orthodox,175.26,182.88,145,36,33,KO/TKO,3.0,3:21,801.0,2,1,0,4,0,0,252,140,1535.6780533194903,1516.1130665965393,0.056253109541481994,0,0,-1,-1.3810942652329747,0.09521531100478467,0.053205128205128197,0,2,0,2,1,-2.5400000000000205,5.079999999999984,0,3,2,-3,0,112,19.564986722951062
Dominick Reyes,Anthony Smith,0.48084217591746403,0.519157824082536,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Light Heavyweight,MALE,3,1,0,0,3.5009220720720724,0.09533035714285713,0.09467433628318582,0.09509210526315795,0.0373086956521739,12,63,1,6,15,Orthodox,193.04,193.04,205,0,1,0,2.6909413043478265,0.10855319148936171,0.08402708333333332,0.09683571428571427,0.06912000000000003,4,21,2,1,7,Southpaw,193.04,195.58,205,34,36,KO/TKO,2.0,4:46,586.0,2,4,2,7,0,0,182,161,1538.5314904977051,1551.8502304042427,-0.038315648165071936,-1,1,0,-0.8099807677242459,-0.010647252949852498,0.001743609022556325,-8,-42,1,-5,-8,0.0,2.5400000000000205,0,-2,0,-3,0,21,-13.31873990653753
Vicente Luque,Themba Gorimbo,0.5831228510996459,0.4168771489003541,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Welterweight,MALE,3,0,4,0,0.6576190476190475,0.14954545454545454,0.05217391304347826,0.9125000000000001,0.12159999999999999,1,12,0,0,4,Orthodox,185.42,195.58,170,1,0,0,3.320789583333333,0.10342268041237114,0.14701479591836733,0.15845555555555557,0.06281,6,47,0,5,15,Orthodox,180.34,190.5,170,33,33,SUB,1.0,0:52,52.0,2,8,3,1,0,0,252,56,1603.6239247573458,1545.3231364771493,0.1662457021992918,1,-4,0,2.6631705357142854,0.09484088287488907,-0.7540444444444445,5,35,0,5,11,-5.079999999999984,-5.0800000000000125,0,0,-1,7,0,196,58.30078828019646
Movsar Evloev,Aljamain Sterling,0.4285096221559761,0.5714903778440239,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Featherweight,MALE,3,0,1,0,6.246650000000002,0.10451546391752575,0.20480612244897958,0.45767474747474757,0.08954999999999998,4,57,5,4,16,Orthodox,170.18,180.34,145,0,8,0,1.2113888888888888,0.09502702702702703,0.03684210526315789,0.8012820512820513,0.0795,0,24,0,0,8,Orthodox,170.18,182.88,145,30,35,DEC,3.0,5:00,900.0,8,0,9,2,0,0,322,238,1623.971138970291,1673.9904766399857,-0.1429807556880478,0,7,0,-5.0352611111111125,-0.16796401718582168,0.34360730380730375,-4,-33,-5,-4,-8,0.0,2.539999999999992,0,-5,-1,-2,0,84,-50.01933766969478
Randy Brown,Bryan Battle,0.5715553003727595,0.4284446996272405,2024-12-07,"Las Vegas, Nevada, USA",USA,0,0,Welterweight,MALE,3,0,3,0,1.109032258064516,0.11249999999999999,0.16969696969696968,0.2538235294117647,0.07514285714285715,1,16,0,2,6,Orthodox,185.42,195.58,170,0,3,0,3.231008139534883,0.09634482758620687,0.1339960227272727,0.1589146067415731,0.07351111111111108,5,43,0,3,13,Orthodox,190.5,198.12,170,34,30,DEC,3.0,5:00,900.0,7,3,1,3,0,0,189,70,1621.099855882973,1571.0344630355496,0.14311060074551896,0,0,0,2.121975881470367,-0.03570094696969697,-0.09490892267019163,4,27,0,1,7,5.0800000000000125,2.539999999999992,0,4,6,0,0,119,50.06539284742348
Chris Weidman,Eryk Anders,0.5847505978321534,0.41524940216784656,2024-12-07,"Las Vegas, Nevada, USA",USA,0,0,Catch Weight,MALE,3,0,1,0,3.8624940789473694,0.10802597402597403,0.02021538461538462,0.33240506329113917,0.06899374999999999,8,44,0,0,8,Southpaw,185.42,190.5,185,0,1,0,4.56490934065934,0.09316304347826086,0.14733225806451616,0.5784191489361702,0.1293842105263158,7,46,5,3,12,Orthodox,187.96,198.12,185,40,37,KO/TKO,2.0,4:51,591.0,5,4,4,4,0,0,252,280,1562.2861628235812,1502.8214993760062,0.16950119566430688,0,0,0,0.7024152617119706,0.12711687344913153,0.24601408564503102,-1,2,5,3,4,2.5400000000000205,7.6200000000000045,0,3,1,0,0,-28,59.46466344757505
